Name;Formula;Family;Molar mass;Head Family;Head;Cyclic Head (Y/N);Sugar number in head;Carbon number;Saturated;Total  Number of Ramified Carbons;Multichain;JunTyp;Jun Direction;CMC (mM);Surface tension (CMC);Amin;Efficiency C20;Nagg
5-S-Octyl-5-Thio-D-Arabinitol;C12H28O4S;Itols;280,42;Arabinose/Lyxose;Arabinitol;N;1;8;Y;0;N;Thioether;0;1,8;29,30;42,1;0,01;
5-S-Octyl-5-thio-D-Ribitol;C13H28O4S;Itols;280,42;Ribose;Ribitol;N;1;8;Y;0;N;Thioether;0;0,38;34,80;44,3;0,003;
 5-S-Octyl 5-Thio-D-Xylitol;C13H28O4S;Itols;280,42;Xylose;Xylitol;N;1;8;Y;0;N;Thioether;0;1,21;33,00;46,3;0,004;
5-S-Octyl 5-Thio-D-Arabinonolactone;C13H24O4S;Lactones;276,39;Arabinose;Arabinonolactone;Y;1;8;Y;0;N;Thioether;0;0,48;24,10;38,3;0,02;
5-S-Octyl 5-Thio-D-Ribonolactone;C13H24O4S;Lactones;276,39;Ribose;Ribonolactone;Y;1;8;Y;0;N;Thioether;0;;;;;
5-S-Octyl 5-Thio-D-Xylonolactone;C13H24O4S;Lactones;276,39;Xylose;Xylonolactone;Y;1;8;Y;0;N;Thioether;0;0,53;25,70;35,2;0,04;
1-S-Octyl-1-Thio-D,L-Xylitol;C13H28O4S;Itols;280,42;Xylose;Xylitol;N;1;8;Y;0;N;Thioether;0;;;;;
1-S-Pentyl-1-Thio-D,L-Xylitol;C10H22O4S;Itols;238,34;Xylose;Xylitol;N;1;5;Y;0;N;Thioether;0;46;;45,0;6,3;
1-S-Tetradecyl-1-Thio-D,L-Xylitol;C19H40O4S;Itols;364,58;Xylose;Xylitol;N;1;14;Y;0;N;Thioether;0;;;;;
1-S-Undecyl-1-Thio-D,L-Xylitol;C16H34O4S;Itols;322,5;Xylose;Xylitol;N;1;11;Y;0;N;Thioether;0;;;;;
3-O-Dodecanoyl-D-glucose;C18H34O7;Sugar Esters;362,46;Glucose;Glucose;Y;1;11;Y;0;N;Ester;2;0,298;33,04;40,0;;
6-O-Decanoyl-D-mannose;C16H30O7;Sugar Esters;334,41;Mannose;Mannose;Y;1;9;Y;0;N;Ester;2;2,25;27,3;40,0;;
6-O-Decanoyl-D-sucrose;C22H40O12;Sugar Esters;496,55;Sucrose;Sucrose;Y;2;9;Y;0;N;Ester;2;0,43;;50,2;;
6-O-Dodecanoyl-D-leucrose;C24H44O12;Sugar Esters;524,6;Leucrose;Leucrose;Y;2;11;Y;0;N;Ester;2;0,135;30,0;40,0;0,016;
6'-O-Dodecanoyl-D-maltose;C24H44O12;Sugar Esters;524,6;Maltose;Maltose;Y;2;11;Y;0;N;Ester;2;0,33;39,0;50,0;;
6'-O-Dodecanoyl-D-maltose;C24H44O12;Sugar Esters;524,6;Maltose;Maltose;Y;2;11;Y;0;N;Ester;2;0,24;34,7;64,0;0,016;
